variable,drug,replicate
12.723791096352,Drug,180807
32.838678299840005,Drug,180807
27.611296856192,Drug,180807
16.764001662688,Drug,180807
10.071804539776,Drug,180807
17.61608398592,Drug,180807
10.220200899439998,Drug,180807
13.106749443872,Drug,180807
10.33987538304,Drug,180807
21.957874250928,Drug,180807
12.345619728176,Drug,180807
12.934418187488,Drug,180807
26.85495411984,Drug,180807
14.341790114624,Drug,180807
23.5758732692,Drug,180807
21.153661721136,Drug,180807
10.033508705024,Drug,180807
13.341311431728,Drug,180807
40.919099432512,Drug,180807
14.681665648048,Drug,180807
30.129247991136,Drug,180807
16.242220914192,Drug,180807
8.702728447392,Drug,180807
27.778841133232003,Drug,180807
22.963139913168,Drug,180807
15.41407348768,Drug,180807
36.898036783552,Drug,180807
21.153661721136,Drug,180807
25.294398853696,Drug,180807
16.615605303024,Drug,180807
16.376256335824,Drug,180807
42.249879690144,Drug,180807
47.410243422976,Drug,180807
8.937290435248,Drug,180807
6.792723689135999,Drug,180807
9.918621200768,Drug,180807
46.136906917472,Drug,180807
23.31258940528,Drug,180807
31.369075641232,Drug,180807
38.195308185776,Drug,180807
16.94590687776,Drug,180807
17.443752729535998,Drug,180807
10.545715494832,Drug,180807
16.644327179088,Drug,180807
9.52608889456,Drug,180807
12.537098901936,Drug,180807
17.462900646912,Drug,180807
10.550502474176,Drug,180807
33.958831466336,Control,180807
40.9286733912,Control,180807
33.977979383712004,Control,180807
25.41886031664,Control,180807
50.952608137536,Control,180807
27.300143198832,Control,180807
43.245571393696,Control,180807
36.084250295072,Control,180807
31.723312112688,Control,180807
42.618477099632,Control,180807
35.576830484608,Control,180807
25.892771271696,Control,180807
18.535184019968,Control,180807
32.98228768016,Control,180807
25.849688457600003,Control,180807
26.577309317888,Control,180807
38.817615500496,Control,180807
23.551938372479995,Control,180807
27.711823422416,Control,180807
46.14648087616,Control,180807
25.653422304496,Control,180807
49.463857561552,Control,180807
35.978936749504,Control,180807
30.01436048688,Control,180807
24.217328501296,Control,180807
18.377213701616,Control,180807
45.280037614896,Control,180807
46.208711607632,Control,180807
37.5777878504,Control,180807
51.828625357488,Control,180807
54.485398893408,Control,180807
17.635231903296003,Control,180807
53.666825425584,Control,180807
40.536141084992,Control,180807
36.673048754384,Control,180807
50.004786227424,Control,180807
17.170894906928,Control,180807
10.406893093856,Control,180807
54.538055666192,Control,180807
35.562469546576,Control,180807
30.382957896368,Control,180807
22.350406557136,Control,180807
10.105313395184,Control,180807
44.1598844484,Control,180807
19.846816360224,Control,180807
37.568213891712,Control,180807
32.426998076256,Control,180807
22.824317512192,Control,180807
45.28482459424,Control,180807
33.484920511279995,Control,180807
53.87745251672,Control,180807
31.842986596288,Control,180807
33.24557154408,Control,180807
37.50598316024,Control,180807
28.396361468608,Control,180807
45.557682416848,Control,180807
24.360937881616,Control,180807
38.817615500496,Control,180807
23.370033157408,Control,180807
45.265676676864,Control,180807
25.543321779584,Control,180807
29.315461502656003,Control,180807
36.385829993744,Control,180807
28.57826668368,Control,180807
26.390617123472,Control,180807
24.447103509808,Control,180807
14.370511990688,Control,180807
31.40258449664,Control,180807
19.813307504816,Control,180807
46.567735058432,Control,180807
28.913355237759998,Control,180807
33.824796044704,Control,180807
48.846337226176,Control,180807
36.869314907488,Control,180807
36.251794572112,Control,180807
49.17185182156801,Control,180807
37.376734717952,Control,180807
37.24269929632,Control,180807
28.310195840416004,Control,180807
25.65820928384,Control,180807
33.690760623072,Control,180807
37.5777878504,Control,180807
25.385351461232,Control,180807
34.72953514072,Control,180807
52.900908730544,Control,180807
34.360937731232,Control,180807
31.986595976608,Control,180807
41.282909862656005,Control,180807
39.114408219824,Control,180807
33.235997585392,Control,180807
25.29918583304,Control,180807
24.308281108832,Control,180807
39.736715534544,Control,180807
35.347055476096,Control,180807
38.329343607408,Control,180807
34.863570562352,Control,180807
29.286739626592,Control,180807
29.305887543968,Control,180807
26.960267665408,Control,180807
41.26376194528,Control,180807
49.88032476448,Control,180807
39.08568634376,Control,180807
40.76112911416,Control,180807
44.269984973312,Control,180807
10.564863412208,Control,180807
50.124460711024,Control,180807
25.715653035968,Control,180807
37.807562858912,Control,180807
